Date,Product,Category,Sales,Quantity
2024-01-15,Laptop,Electronics,1299.99,5
2024-01-16,Shirt,Clothing,29.99,12
2024-01-17,Garden Hose,Home & Garden,45.50,8
2024-01-18,Tennis Racket,Sports,89.99,4
2024-01-19,Novel,Books,15.99,10
2024-02-15,Monitor,Electronics,399.99,6
2024-02-16,Jeans,Clothing,49.99,15
2024-02-17,Plant Pot,Home & Garden,12.99,20
2024-02-18,Basketball,Sports,24.99,7
2024-02-19,Cookbook,Books,22.99,9
2024-03-15,Keyboard,Electronics,79.99,10
2024-03-16,Dress,Clothing,59.99,11
2024-03-17,Lawnmower,Home & Garden,299.99,3
2024-03-18,Yoga Mat,Sports,34.99,14
2024-03-19,Textbook,Books,89.99,5
2024-04-15,Mouse,Electronics,29.99,18
2024-04-16,Jacket,Clothing,89.99,8
2024-04-17,Shovel,Home & Garden,35.99,6
2024-04-18,Dumbbells,Sports,49.99,9
2024-04-19,Magazine,Books,5.99,25
2024-05-15,Webcam,Electronics,129.99,7
2024-05-16,Shoes,Clothing,69.99,13
2024-05-17,Seeds,Home & Garden,8.99,30
2024-05-18,Jump Rope,Sports,12.99,16
2024-05-19,Dictionary,Books,29.99,8
